id,lon,lat,name,address,pname,cityname,business_area,type
B0K1CSJYZK,120.354353,30.270920,零网球俱乐部,22号大街35号,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0K1FYKE8K,120.110844,30.322782,温兰网球俱乐部(城北花卉馆),石祥路789号城北花卉市场A幢A112,浙江省,杭州市,祥符街,体育休闲服务;运动场馆;网球场
B0K1JUG3DV,120.221138,30.296197,Reno Smash Club网球学练馆·匹克球,源聚德信中心负一楼B134-1(七幢四季外旁大楼梯下负一层右手边),浙江省,杭州市,彭埠,体育休闲服务;体育休闲服务场所;体育休闲服务场所
B0K1L1JCM2,120.165786,30.186216,Tennisfun燃动网球学练馆,江南大道3588号恒生大厦B座311室,浙江省,杭州市,江南,体育休闲服务;运动场馆;网球场
B0K1Y55QGI,119.987007,30.279007,秋猫网球(宝龙店),未来科技城宝龙商场2楼,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0K21SSN3Q,120.292451,30.250569,杭州天幕网球俱乐部,弘慧路399-8号,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0K239QNC2,120.475400,30.235859,靖江街道文化体育公园网球场,伟神路475号(永盛路地铁站H口步行280米),浙江省,杭州市,靖江,体育休闲服务;运动场馆;网球场
B0K26AKORL,119.124752,29.547717,千岛湖洲际度假酒店网球场,文姐超市南侧100米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0K29PHWG0,120.131159,30.176432,乐不思网球俱乐部,东信大道与闻涛路交叉口东北60米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0K29UWTHV,120.203337,30.195640,星跃网球,滨江体育馆,浙江省,杭州市,长河,体育休闲服务;运动场馆;网球场
B0K2JCSE9S,120.304976,30.394200,杭州阿蓝网球会员馆·学练馆·匹克球·板式网球(余之城店),余之城生活广场东区L5层,浙江省,杭州市,南苑,体育休闲服务;运动场馆;网球场
B0K2N19PDJ,120.198249,30.208689,大喜网球.球拍穿线工作室(招商·信雅达国际2幢店),信雅达国际2幢2502-1室,浙江省,杭州市,长河,生活服务;生活服务场所;生活服务场所
B0K2NC48DY,120.295054,30.389948,TIEBREAK网球学练馆,杭州市银泰inPARKC区B1,浙江省,杭州市,南苑,体育休闲服务;体育休闲服务场所;体育休闲服务场所
B0K2PKATSY,120.240338,30.206848,杭州市Ubest杭州优贝网球俱乐部,兴议路与长龙路交叉口南100米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0K2R79YJ9,120.206998,30.253035,Tennis fit青学网球学练馆,森禾广场B座3楼305,浙江省,杭州市,采荷,体育休闲服务;运动场馆;网球场
